carbonore,20000000,50.00,20000000,25.00
siliconore,20000000,50.00,20000000,25.00
aluminiumore,20000000,50.00,20000000,25.00
ironore,20000000,50.00,20000000,25.00
sodiumore,20000000,200.00,20000000,100.00
calciumore,20000000,200.00,20000000,100.00
chromiumore,20000000,200.00,20000000,100.00
copperore,20000000,200.00,20000000,100.00
lithiumore,20000000,800.00,20000000,400.00
nickelore,20000000,800.00,20000000,400.00
silverore,20000000,800.00,20000000,400.00
sulfurore,20000000,800.00,20000000,400.00
cobaltore,20000000,1600.00,20000000,800.00
fluorineore,20000000,1600.00,20000000,800.00
goldore,20000000,1600.00,20000000,800.00
scandiumore,20000000,1600.00,20000000,800.00
Wardrobe_S01,1000000,1917,10000,959
XorOperator,1000000,2154,10000,1077
Urinal_S01,1000000,400,10000,200
LightVerticalLarge,1000000,25130,10000,12565
Xeron,1000000,36,10000,18
SpaceEngineXtraSmallSafe,1000000,5762,10000,2881
SpaceEngineSmallSafe,1000000,24140,10000,12070
Table_S01,1000000,1731,10000,866
IndustrySmelter2,1000000,116955,10000,58478
AtmosphericEngineXtraSmallSafe,1000000,5516,10000,2758
AtmosphericEngineSmallSafe,1000000,23140,10000,11570
SpaceEngineMediumSafe,1000000,124517,10000,62259
AtmosphericEngineMediumSafe,1000000,119762,10000,59881
Dresser_S01,1000000,1731,10000,866
Sofa_S01,1000000,1917,10000,959
ContainerSmallOptimised,1000000,25051,10000,12526
IndustryRefiner2,1000000,126519,10000,63260
AdjunctTipMedium,1000000,453,10000,227
ContainerMediumOptimised,1000000,124866,10000,62433
ContainerXLOptimised,1000000,681379,10000,340690
ContainerLargeOptimised,1000000,681379,10000,340690
IndustryRecycler2,1000000,122148,10000,61074
AtmosphericVerticalBoo7sterXtraSmallMilitary,1000000,5655,10000,2828
AtmosphericVerticalBoosterSmallMilitary,1000000,23513,10000,11757
AtmosphericVerticalBoosterMediumMilitary,1000000,120947,10000,60474
SpaceEngineXtraSmallMilitary,1000000,5762,10000,2881
Chair_S01,1000000,134,10000,67
Club_S01,1000000,107,10000,54
WingXtraSmall2,1000000,1438,10000,719
SpaceEngineSmallMilitary,1000000,24140,10000,12070
HoverEngineSmallMilitary,1000000,22235,10000,11118
TableBig_S01,1000000,1731,10000,866
ContainerXXLOptimised,1000000,3855959,10000,1927980
SpaceEngineLargeSafe,1000000,688640,10000,344320
AtmosphericEngineXtraSmallMilitary,1000000,5516,10000,2758
SpaceEngineMediumMilitary,1000000,124517,10000,62259
AtmosphericEngineSmallMilitary,1000000,23140,10000,11570
AtmosphericEngineLargeSafe,1000000,665190,10000,332595
HoverEngineMediumMilitary,1000000,115479,10000,57740
AtmosphericVerticalBoosterXtraSmallManeuver,1000000,5655,10000,2828
AtmosphericVerticalBoosterSmallManeuver,1000000,23513,10000,11757
AdjunctTipLarge,1000000,2316,10000,1158
AdjunctTipSmall,1000000,453,10000,227
EndTable_S01,1000000,347,10000,174
SpaceEngineXtraSmallManeuver,1000000,5762,10000,2881
AtmosphericEngineMediumMilitary,1000000,119762,10000,59881
WindowXSmall,1000000,1917,10000,959
IndustryMetalwork2,1000000,131698,10000,65849
SpaceEngineSmallManeuver,1000000,24140,10000,12070
HoverEngineSmallManeuver,1000000,22235,10000,11118
AtmosphericVerticalBoosterMediumManeuver,1000000,120947,10000,60474
MiningUnitLarge2,1000000,651455,10000,325728
AtmosphericEngineXtraSmallManeuver,1000000,5516,10000,2758
SpaceEngineMediumManeuver,1000000,124517,10000,62259
AtmosphericEngineSmallManeuver,1000000,23140,10000,11570
HoverEngineMediumManeuver,1000000,115479,10000,57740
AtmosphericVerticalBoosterLargeMilitary,1000000,667384,10000,333692
ContainerSmallGravityInverted,1000000,25051,10000,12526
AtmosphericEngineMediumManeuver,1000000,119762,10000,59881
ContainerMediumGravityInverted,1000000,124866,10000,62433
ContainerLargeGravityInverted,1000000,681379,10000,340690
WindowLarge,1000000,15172,10000,7586
WindowSmall,1000000,3833,10000,1917
IndustryHoneycomber2,1000000,132142,10000,66071
SpaceEngineLargeMilitary,1000000,688640,10000,344320
AtmosphericVerticalBoosterXtraSmallFreight,1000000,5655,10000,2828
WingMedium2Bis,1000000,49110,10000,24555
SpaceEngineXtraSmallFreight,1000000,5762,10000,2881
ContainerXLGravityInverted,1000000,1361367,10000,680684
SpaceEngineSmallFreight,1000000,24140,10000,12070
AtmosphericVerticalBoosterSmallFreight,1000000,23513,10000,11757
HoverEngineSmallFreight,1000000,22235,10000,11118
WingMedium2,1000000,40033,10000,20017
IndustryGlass2,1000000,124254,10000,62127
HoverEngineLargeMilitary,1000000,641272,10000,320636
AtmosphericEngineXtraSmallFreight,1000000,5516,10000,2758
AtmosphericEngineSmallFreight,1000000,23140,10000,11570
AtmosphericVerticalBoosterMediumFreight,1000000,120947,10000,60474
HoverEngineLargeUnderMilitary,1000000,641272,10000,320636
SpaceEngineMediumFreight,1000000,124517,10000,62259
HoverEngineMediumFreight,1000000,115479,10000,57740
IndustryAssemblyXS2,1000000,6087,10000,3044
AtmosphericEngineLargeMilitary,1000000,665190,10000,332595
WingSmall2,1000000,7320,10000,3660
WindowMedium,1000000,7613,10000,3807
AtmosphericEngineMediumFreight,1000000,119762,10000,59881
IndustryAssemblyS2,1000000,25704,10000,12852
Trash,1000000,373,10000,187
IndustryChemical2,1000000,126519,10000,63260
IndustryElectronics2,1000000,120974,10000,60487
ScreenTransparent1x,1000000,5209,10000,2605
ScreenTransparent2x,1000000,5209,10000,2605
ScreenTransparent3x,1000000,5209,10000,2605
TransponderUnit,1000000,51621,10000,25811
WC_02_S01,1000000,373,10000,187
WC_01_S01,1000000,373,10000,187
ScreenTransparent4x,1000000,5209,10000,2605
VirtualProjector,1000000,5031,10000,2516
Industry3DPrinter2,1000000,120974,10000,60487
Telemeter,1000000,6069,10000,3035
SacDeco04,1000000,293,10000,147
SacDeco03,1000000,293,10000,147
Table,1000000,12644,10000,6322
SacDeco05,1000000,293,10000,147
AtmosphericEngineLargeManeuver,1000000,665190,10000,332595
SurrogateVRStation,1000000,6921,10000,3461
SurrogatePodStation,1000000,54862,10000,27431
SulfurScrap,1000000,852,10000,426
DecoPanel1x2,1000000,426,10000,213
DecoColumn2x,1000000,426,10000,213
CoreUnitStatic32,1000000,1411,10000,706
IndustryAssemblyM2,1000000,131911,10000,65956
TerritoryUnitBasic,1000000,72932,10000,36466
CoreUnitStatic64,1000000,7028,10000,3514
AtmosphericVerticalBoosterLargeManeuver,1000000,667384,10000,333692
StasisWeaponExtraSmall,1000000,31433,10000,15717
SpaceEngineLargeManeuver,1000000,688640,10000,344320
HoverEngineLargeManeuver,1000000,641272,10000,320636
AmmoStasisExtraSmall,1000000,525,10000,263
HoverEngineLargeUnderManeuver,1000000,641272,10000,320636
AmmoStasisSmall,1000000,959,10000,480
StasisWeaponSmall,1000000,119152,10000,59576
AmmoStasisMedium,1000000,1910,10000,955
AmmoStasisLarge,1000000,3710,10000,1855
StabilizerXtraSmall,1000000,1464,10000,732
StabilizerSmall,1000000,7294,10000,3647
LightVerticalSmall,1000000,5765,10000,2883
BacDeco03,1000000,1704,10000,852
ScreenSignVXSmall,1000000,5209,10000,2605
LightSquareXSmall,1000000,1012,10000,506
LightSquareSmall,1000000,5765,10000,2883
Carpet01,1000000,134,10000,67
ProjectorHologramSpaceshipsmall,1000000,905,10000,453
ProjectorHologramSpaceshipMedium,1000000,2775,10000,1388
ProjectorHologramSpaceshipLarge,1000000,5575,10000,2788
StabilizerMedium,1000000,40007,10000,20004
TransferUnit,1000000,227101,10000,113551
LightSquareMedium,1000000,5765,10000,2883
LightSquareLarge,1000000,5765,10000,2883
RadarPVPSpaceSmall,1000000,26603,10000,13302
RadialSpaceFuelTankXSmall,1000000,4472,10000,2236
RadialSpaceFuelTank,1000000,6309,10000,3155
